Entity,Year,Outdoor air pollution,High systolic blood pressure,Diet low in whole grains ,Alcohol use, Diet low in fruits ,Secondhand smoke,Unsafe sex ,Diet low in nuts and seeds, Smoking,High fasting plasma glucose,Air pollution - Sex,High body-mass index,No access to handwashing facility,Drug use , Low bone mineral density ,Vitamin A deficiency , Child stunting - Sex: Both - Age: All Ages (Number), Discontinued breastfeeding,Non-exclusive breastfeeding
China,2010,1330666,2121106,302572,459307,239022,381547,54615,85579,2173614,945968,1870627,533220,10778,67547,76432,48,2610,119,3834
China,2011,1360873,2195255,315676,462594,237409,383243,56047,87732,2187252,972271,1874037,557531,10228,67020,77783,32,2272,99,3447
China,2012,1374597,2231508,322087,466486,232518,379388,56538,87166,2190880,987113,1854111,576568,9729,67076,78650,27,2070,87,3244
China,2013,1392905,2283516,331899,467612,229407,378857,58674,87820,2191240,1012527,1845363,597073,9415,68862,79478,25,1878,78,2939
China,2014,1414215,2330193,339974,471084,226951,379995,63156,87767,2200567,1036740,1844224,618146,8921,72491,81016,24,1672,72,2553
China,2015,1437447,2369583,346841,475068,225036,381555,67530,87326,2218343,1053231,1848574,639810,8723,75533,82961,28,1586,64,2575
China,2016,1459220,2436311,356204,483726,226241,388950,71644,87587,2264059,1035697,1856583,667629,8820,78237,85328,34,1597,65,2636
China,2017,1462551,2484664,365589,489499,226763,395166,73353,87558,2299693,1007336,1840441,694797,8272,80786,86820,29,1437,69,2221
China,2018,1467298,2529231,373499,498447,228032,403593,74071,86809,2344284,1024434,1828243,724651,7772,82950,87953,23,1218,59,1850
China,2019,1516904,2599879,383478,514659,231120,416054,74859,86309,2418665,1067554,1848274,764698,7575,85238,89857,21,1048,50,1637
Colombia,1990,7047,21783,3988,8072,1779,2286,2085,1407,15278,15852,15177,10534,1311,271,823,51,650,193,1526
Colombia,1991,7486,22999,4243,8940,1858,2393,2232,1408,15966,16987,15749,11280,1300,284,886,49,601,182,1494
Colombia,1992,7736,23489,4330,9143,1871,2433,2342,1358,16074,17624,15893,11749,1279,287,915,47,565,174,1453
Colombia,1993,7926,23712,4362,9169,1866,2454,2500,1305,15947,18035,15885,12163,1228,290,932,42,540,166,1385
Colombia,1994,8151,24044,4409,8954,1875,2483,2827,1277,15925,18573,15907,12658,1158,293,943,37,503,155,1294
Colombia,1995,8354,24231,4440,8684,1877,2500,2979,1270,15867,19043,15859,13069,1081,291,979,32,451,139,1180
Colombia,1996,8791,24931,4572,8789,1922,2574,3094,1316,16096,19977,16127,13767,1034,293,977,28,418,124,1080
Colombia,1997,8789,24129,4392,8416,1844,2492,3668,1285,15318,19743,15491,13721,938,284,941,24,375,108,959
Colombia,1998,9003,24056,4348,8363,1822,2479,3698,1303,14983,20109,15235,14095,861,273,941,20,335,93,848
Colombia,1999,9514,24961,4503,8569,1876,2569,3901,1390,15281,21258,15539,14930,824,277,937,17,312,79,762
Colombia,2000,9685,25557,4599,8783,1899,2597,4025,1465,15222,21970,15501,15405,778,278,929,14,282,64,667
Colombia,2001,9821,26295,4726,8765,1929,2647,4243,1568,15352,22586,15525,15845,755,285,941,12,252,51,578
Colombia,2002,10641,29347,5328,9944,2140,2935,4491,1868,17165,24996,16655,17581,782,328,1057,12,235,45,521
Colombia,2003,10008,28529,5152,7814,2063,2826,4678,1905,16070,24122,15703,17229,763,317,1004,10,219,42,457
Colombia,2004,9794,29031,5255,7515,2078,2842,4729,2040,16056,24267,15411,17484,755,327,1023,9,202,38,395
Colombia,2005,9470,28540,5188,6827,2029,2771,4671,2085,15445,23745,14906,17208,729,324,1002,8,189,35,348
Colombia,2006,9895,29623,5414,6944,2079,2833,4657,2231,15824,24536,15288,17837,717,339,1038,6,176,31,312
Colombia,2007,10087,29554,5403,6710,2028,2764,4706,2280,15519,24405,15078,17783,683,341,1039,5,162,27,279
Colombia,2008,10638,30342,5550,6818,2029,2779,4706,2387,15760,24972,15299,18245,660,357,1070,5,151,24,254
Colombia,2009,11364,31773,5832,7138,2071,2859,4642,2542,16496,25946,15800,19066,654,382,1135,4,142,20,233
Colombia,2010,11533,32174,5906,7023,2047,2854,4737,2584,16425,26247,15758,19349,624,393,1147,3,128,17,211
Colombia,2011,11275,31659,5798,6782,1967,2788,4589,2529,15894,25901,15222,19088,585,389,1115,2,117,15,197
Colombia,2012,11463,32313,5919,6763,1961,2831,4500,2567,15953,26498,15176,19583,574,404,1135,2,111,14,195
Colombia,2013,11516,32879,6007,6732,1950,2871,4582,2584,15968,27019,14955,20026,568,419,1156,2,105,14,193
Colombia,2014,11539,33467,6089,6545,1947,2909,4643,2592,15808,27618,14707,20573,562,418,1173,2,99,13,189
Colombia,2015,11870,35071,6355,6743,2002,3042,4683,2679,16256,28991,14867,21662,571,441,1225,2,93,13,179
Colombia,2016,12085,36366,6525,7027,2046,3158,4686,2715,16570,30122,14904,22682,563,452,1253,1,83,12,163
Colombia,2017,12232,37519,6685,7269,2086,3270,4707,2746,16775,31126,14917,23584,565,472,1293,1,79,11,158
Colombia,2018,12810,39128,6923,7414,2151,3417,4723,2804,17061,32694,15363,24713,570,490,1323,1,75,11,151
Colombia,2019,13306,40499,7112,7563,2202,3556,4716,2834,17296,34180,15711,25730,573,507,1365,1,70,11,144
Comoros,1990,39,394,40,33,23,67,35,8,196,175,844,120,348,2,15,52,182,9,152
Comoros,1991,41,404,41,33,23,68,36,8,198,180,846,125,351,2,16,52,182,9,150
Comoros,1992,44,426,44,35,24,71,38,8,208,191,863,135,361,2,16,52,186,10,152
Comoros,1993,46,437,45,35,25,71,39,9,212,198,859,141,356,3,17,49,180,9,146
Comoros,1994,48,455,47,37,26,73,41,9,220,208,867,150,360,3,18,48,179,9,145
Comoros,1995,50,468,49,38,27,73,43,9,225,216,863,156,357,3,18,46,174,9,141
Comoros,1996,52,480,50,40,28,74,44,10,231,224,858,161,355,3,36,46,170,8,137
Comoros,1997,53,487,52,40,28,73,45,10,232,230,844,164,351,3,19,45,165,8,134
Comoros,1998,54,483,52,40,29,71,45,10,226,230,817,163,355,3,22,46,162,8,140
Comoros,1999,54,483,52,40,29,70,46,10,221,233,796,164,340,3,19,43,153,8,130
Comoros,2000,56,496,54,41,30,70,48,11,224,241,791,171,362,4,20,44,159,9,147
Comoros,2001,57,501,55,42,31,69,49,11,222,245,770,174,318,4,20,36,137,7,117
Comoros,2002,59,507,57,43,32,68,50,11,221,249,751,177,318,4,22,35,134,7,121
Comoros,2003,60,507,57,43,32,67,50,11,215,250,725,178,287,4,20,30,118,6,101
Comoros,2004,61,501,57,42,31,65,47,11,208,250,704,176,278,4,21,28,115,6,95
Comoros,2005,63,517,59,45,33,66,50,11,213,259,702,185,271,4,24,26,109,5,89
Comoros,2006,64,515,59,43,33,64,47,11,207,261,682,182,254,4,26,16,87,5,83
Comoros,2007,68,544,63,48,36,67,51,12,219,277,701,198,269,4,30,14,85,6,87
Comoros,2008,69,563,66,49,37,68,53,12,223,289,703,208,254,5,24,9,73,5,75
Comoros,2009,69,562,66,49,37,66,51,12,218,292,680,207,233,5,41,8,64,5,68
Comoros,2010,69,570,67,47,38,65,51,12,216,298,661,211,211,4,25,7,55,4,61
Comoros,2011,74,591,70,50,40,66,53,13,222,310,666,222,209,5,37,6,53,4,57
Comoros,2012,77,609,72,52,42,67,54,13,226,320,662,233,198,5,30,7,49,3,52
Comoros,2013,80,626,75,55,43,67,56,14,229,330,656,243,192,6,31,9,51,3,48
Comoros,2014,87,664,80,62,47,72,62,14,243,350,681,268,207,7,29,7,48,3,47
Comoros,2015,88,680,82,64,48,72,64,15,246,359,676,278,204,7,29,7,44,3,43
Comoros,2016,87,696,84,66,49,73,65,15,248,366,667,287,198,7,30,7,41,3,40
Comoros,2017,86,713,86,67,50,73,66,16,250,375,661,297,196,8,31,5,36,3,38
Comoros,2018,90,722,88,67,51,73,65,16,249,379,650,301,186,8,32,5,32,2,33
Comoros,2019,95,737,90,68,52,74,66,16,250,386,646,309,180,8,33,5,30,2,30
Congo,1990,537,2856,294,1204,300,200,2481,5,1020,1427,3347,1073,1582,70,89,284,417,79,593
Congo,1991,557,2878,298,1146,299,197,3068,6,1015,1448,3336,1097,1575,85,97,276,415,78,595
Congo,1992,579,2916,304,1103,300,196,3677,6,1025,1482,3350,1127,1585,100,91,270,417,78,599
Congo,1993,612,2997,313,1103,305,198,4280,6,1039,1533,3396,1179,1604,116,121,264,421,78,603
Congo,1994,653,3152,330,1109,318,206,4861,7,1070,1621,3508,1270,1660,132,101,264,430,79,613
Congo,1995,690,3252,341,1104,326,210,5372,8,1085,1684,3570,1336,1686,146,100,264,437,79,621
Congo,1996,730,3369,354,1102,335,215,5814,8,1095,1752,3645,1417,1702,159,104,263,444,79,625
Congo,1997,771,3432,362,1112,339,220,6180,9,1107,1808,3707,1477,1740,170,107,265,458,80,640
Congo,1998,790,3397,358,1049,332,215,6447,10,1075,1810,3658,1485,1717,176,107,265,460,79,645
Congo,1999,818,3420,361,1044,332,215,6663,10,1061,1843,3659,1527,1717,183,108,269,460,77,646
Congo,2000,825,3382,357,1015,326,211,6825,11,1026,1841,3601,1533,1699,187,108,272,454,77,649
Congo,2001,823,3318,352,972,318,205,6910,11,987,1821,3511,1523,1663,189,109,275,442,76,654
Congo,2002,824,3290,350,942,314,202,6952,11,952,1816,3458,1530,1652,190,105,278,434,77,665
Congo,2003,850,3379,361,966,323,206,6954,12,954,1871,3494,1602,1658,192,109,282,424,77,673
Congo,2004,876,3448,370,974,329,209,6912,13,944,1911,3506,1662,1655,191,115,276,407,77,676
Congo,2005,912,3496,375,980,334,213,6665,13,930,1940,3518,1716,1687,186,114,220,355,80,690
Congo,2006,961,3575,383,1009,341,218,6387,14,936,1992,3526,1781,1677,179,116,209,338,79,683
Congo,2007,1010,3675,394,1067,351,227,6195,15,955,2057,3539,1860,1682,175,121,203,327,79,679
Congo,2008,1067,3787,407,1130,361,237,5698,15,977,2131,3550,1942,1659,163,124,189,309,77,650
Congo,2009,1125,3863,414,1192,369,244,5229,16,996,2188,3534,2008,1609,152,127,177,289,73,606
Congo,2010,1188,3931,421,1239,375,248,5049,16,1006,2238,3509,2074,1514,148,134,173,274,66,549
Congo,2011,1265,4009,430,1276,382,251,4915,16,1031,2303,3496,2146,1431,146,133,152,245,60,500
Congo,2012,1372,4139,445,1366,395,257,4973,17,1078,2403,3510,2260,1363,151,151,131,217,55,453
Congo,2013,1477,4259,459,1443,406,262,5099,17,1121,2498,3511,2373,1283,156,143,120,199,48,401
Congo,2014,1571,4390,475,1521,418,268,5108,17,1167,2597,3516,2491,1211,159,148,97,170,42,352
Congo,2015,1615,4487,487,1581,427,272,4819,17,1209,2678,3482,2581,1152,153,152,86,153,37,315
Congo,2016,1632,4602,502,1633,439,275,4415,18,1254,2765,3431,2680,1097,145,155,81,140,33,281
Congo,2017,1658,4747,520,1696,454,280,4307,18,1305,2864,3403,2793,1067,144,161,72,126,31,256
Congo,2018,1740,4918,541,1758,472,288,4175,19,1367,2974,3430,2920,1026,143,170,65,113,27,228
Congo,2019,1850,5091,562,1823,490,297,4074,20,1433,3077,3470,3044,1001,142,175,65,107,24,209
Cook Islands,1990,2,25,4,2,2,6,0,0,18,25,5,27,0,1,1,0,0,0,0
Cook Islands,1991,2,26,4,2,2,6,0,0,18,25,5,27,0,1,1,0,0,0,0
Cook Islands,1992,2,26,4,2,2,6,0,0,18,26,5,28,0,1,1,0,0,0,0
Cook Islands,1993,2,26,4,2,2,6,0,0,18,26,4,28,0,1,1,0,0,0,0
Cook Islands,1994,2,26,4,2,2,6,0,0,18,27,4,28,0,1,1,0,0,0,0
Cook Islands,1995,2,27,4,2,2,6,0,0,18,28,4,29,0,1,1,0,0,0,0
Cook Islands,1996,2,27,4,2,2,6,0,0,18,29,4,29,0,1,1,0,0,0,0
Cook Islands,1997,2,27,4,3,2,6,0,0,18,29,4,30,0,1,1,0,0,0,0
Cook Islands,1998,2,28,4,2,2,6,0,0,18,30,4,31,0,1,1,0,0,0,0
Cook Islands,1999,2,28,4,3,2,6,0,0,18,31,4,31,0,1,1,0,0,0,0
Cook Islands,2000,2,29,4,3,3,6,0,0,18,32,4,32,0,1,1,0,0,0,0
Cook Islands,2001,2,29,4,3,2,6,1,0,19,33,4,33,0,1,1,0,0,0,0
Cook Islands,2002,2,30,4,4,2,6,1,0,19,34,4,33,0,1,1,0,0,0,0
Cook Islands,2003,2,29,5,4,2,6,1,0,19,34,4,34,0,1,1,0,0,0,0
Cook Islands,2004,2,30,5,5,2,6,1,0,19,35,3,35,0,1,1,0,0,0,0
Cook Islands,2005,2,30,5,5,2,6,1,0,19,36,3,35,0,1,1,0,0,0,0
Cook Islands,2006,2,30,5,5,2,6,1,0,18,36,3,35,0,1,1,0,0,0,0
Cook Islands,2007,2,31,5,6,2,6,1,0,18,36,3,35,0,1,1,0,0,0,0
Cook Islands,2008,2,31,5,6,2,6,1,0,18,36,3,35,0,1,1,0,0,0,0
Cook Islands,2009,2,32,5,6,2,6,1,0,18,37,3,35,0,1,1,0,0,0,0
Cook Islands,2010,2,33,5,6,2,6,1,0,19,38,3,36,0,1,1,0,0,0,0
Cook Islands,2011,2,34,5,7,3,7,1,0,19,39,3,37,0,1,1,0,0,0,0
Cook Islands,2012,2,35,5,7,3,7,1,0,20,40,3,38,0,1,1,0,0,0,0
Cook Islands,2013,2,37,5,7,3,7,1,0,20,40,3,39,0,1,1,0,0,0,0
Cook Islands,2014,3,37,5,7,3,7,1,0,20,41,3,39,0,1,1,0,0,0,0
Cook Islands,2015,3,38,6,7,3,7,1,0,20,43,4,41,0,1,1,0,0,0,0
Cook Islands,2016,3,40,6,7,3,7,2,0,21,44,4,42,0,1,1,0,0,0,0
Cook Islands,2017,3,40,6,7,3,7,2,0,21,45,4,43,0,1,1,0,0,0,0
Cook Islands,2018,3,41,6,7,3,8,2,0,21,46,4,44,0,1,1,0,0,0,0
Cook Islands,2019,3,42,6,7,3,8,2,0,21,47,4,45,0,1,1,0,0,0,0
Costa Rica,1990,374,2167,399,515,101,214,193,183,1328,1300,837,925,61,28,111,1,13,4,34
Costa Rica,1991,389,2276,414,541,101,219,230,189,1352,1374,829,981,58,30,116,1,12,3,29
Costa Rica,1992,409,2380,429,588,101,223,238,195,1397,1442,823,1036,56,34,124,1,11,3,27
Costa Rica,1993,422,2445,436,607,99,224,262,197,1400,1479,804,1076,56,35,127,1,10,3,25
Costa Rica,1994,459,2630,465,659,103,237,293,209,1480,1587,832,1175,58,39,137,1,9,2,24
Costa Rica,1995,494,2777,489,708,106,249,331,218,1550,1683,860,1266,60,44,144,1,9,2,23
Costa Rica,1996,499,2731,473,690,102,240,333,209,1502,1654,829,1260,57,43,139,1,8,2,22
Costa Rica,1997,535,2797,474,708,102,243,352,206,1538,1667,841,1303,57,47,142,1,8,2,23
Costa Rica,1998,570,2887,481,717,103,245,311,204,1556,1708,849,1368,54,47,146,0,7,2,20
Costa Rica,1999,615,3030,501,744,106,249,312,209,1616,1785,871,1452,51,50,154,0,6,2,17
Costa Rica,2000,616,3028,494,709,103,240,301,202,1570,1777,843,1464,47,48,158,0,5,2,14
Costa Rica,2001,647,3147,511,708,107,242,316,204,1590,1843,863,1541,47,49,162,0,5,1,14
Costa Rica,2002,632,3103,501,711,105,229,285,196,1539,1808,826,1543,44,52,161,0,4,1,12
Costa Rica,2003,657,3199,517,723,110,231,306,197,1570,1894,839,1622,44,55,169,0,4,1,11
Costa Rica,2004,665,3327,534,742,114,231,291,198,1604,1959,838,1694,43,57,179,0,3,1,9
Costa Rica,2005,623,3179,504,697,108,213,289,182,1507,1854,777,1633,40,54,172,0,3,1,8
Costa Rica,2006,663,3399,541,765,117,223,309,190,1608,1967,814,1755,40,61,183,0,3,1,8
Costa Rica,2007,610,3115,492,710,107,200,264,168,1480,1802,738,1613,38,57,172,0,3,1,8
Costa Rica,2008,637,3268,518,746,113,207,286,172,1548,1897,763,1709,38,61,179,0,2,1,7
Costa Rica,2009,638,3289,521,745,115,206,279,168,1552,1913,758,1743,38,62,180,0,2,1,6
Costa Rica,2010,742,3766,607,845,133,238,310,192,1789,2212,873,2002,44,73,204,0,2,1,6
Costa Rica,2011,735,3682,595,820,130,232,304,185,1738,2182,856,1972,44,71,203,0,2,1,6
Costa Rica,2012,766,3755,610,832,132,238,338,186,1759,2249,881,2028,46,73,209,0,2,1,6
Costa Rica,2013,796,3849,631,863,136,248,334,190,1805,2355,907,2103,49,77,217,0,2,1,6
Costa Rica,2014,824,3949,652,893,139,257,349,194,1847,2460,932,2181,51,80,227,0,2,1,6
Costa Rica,2015,870,4140,689,963,146,274,331,202,1937,2638,980,2323,55,87,241,0,2,1,5
Costa Rica,2016,911,4406,736,1036,155,295,338,213,2029,2876,1023,2502,60,96,261,0,2,1,6
Costa Rica,2017,903,4562,757,1059,158,303,340,216,2050,2996,1012,2598,59,100,269,0,2,0,5
Costa Rica,2018,943,4724,780,1089,160,314,338,220,2104,3120,1047,2710,59,103,274,0,2,0,5
Costa Rica,2019,968,4858,796,1113,161,322,339,222,2118,3225,1068,2804,60,106,281,0,1,0,4
Cote d'Ivoire,1990,2427,6656,907,3286,506,1620,7483,25,3164,2760,19082,2466,7592,254,247,1778,4056,128,3752
Cote d'Ivoire,1991,2508,6994,960,3549,534,1713,10828,26,3343,2954,19561,2620,7816,370,259,1739,4088,132,3909
Cote d'Ivoire,1992,2622,7410,1023,3855,567,1821,14926,28,3575,3192,20218,2799,8044,516,273,1681,4106,139,4057
Cote d'Ivoire,1993,2771,7898,1094,4226,606,1943,19631,30,3840,3470,21048,3020,8371,686,290,1636,4156,153,4228
Cote d'Ivoire,1994,2938,8400,1165,4607,646,2068,24655,32,4118,3766,21963,3250,8713,871,308,1632,4235,172,4390
Cote d'Ivoire,1995,3103,8924,1238,4962,688,2181,29709,34,4388,4082,22817,3494,9037,1062,325,1645,4300,186,4549
Cote d'Ivoire,1996,3305,9340,1294,5206,720,2258,34489,35,4567,4350,23323,3694,9072,1245,339,1617,4257,185,4514
Cote d'Ivoire,1997,3612,9707,1336,5394,746,2329,38671,35,4700,4598,23751,3871,9134,1410,353,1575,4228,183,4502
Cote d'Ivoire,1998,3978,10142,1387,5591,777,2406,42085,35,4855,4875,24230,4085,9163,1548,367,1507,4186,176,4451
Cote d'Ivoire,1999,4286,10589,1437,5763,809,2464,44579,35,5014,5152,24554,4310,9100,1654,381,1450,4120,163,4322
Cote d'Ivoire,2000,4495,11101,1494,5930,846,2526,45713,35,5188,5476,24940,4547,9008,1709,408,1429,4075,150,4144
Cote d'Ivoire,2001,4596,11406,1528,5988,876,2553,45497,35,5294,5682,25167,4731,8828,1713,401,1415,4004,140,3958
Cote d'Ivoire,2002,4689,11727,1565,6013,910,2570,44891,35,5392,5934,25399,4887,8571,1701,410,1348,3920,132,3705
Cote d'Ivoire,2003,4763,11990,1597,6098,946,2571,44309,34,5517,6137,25539,5062,8360,1689,417,1285,3844,127,3504
Cote d'Ivoire,2004,4841,12283,1633,6148,982,2579,42904,34,5642,6365,25713,5217,8254,1643,430,1088,3606,127,3351
Cote d'Ivoire,2005,4887,12490,1656,6127,1011,2569,39481,34,5689,6542,25733,5345,8104,1514,432,1005,3494,127,3178
Cote d'Ivoire,2006,4967,12705,1679,6096,1038,2593,35358,34,5728,6734,25943,5467,8235,1355,441,485,2834,137,3090
Cote d'Ivoire,2007,4937,12785,1685,6072,1058,2560,32372,34,5735,6829,25732,5562,8013,1240,447,423,2688,138,2866
Cote d'Ivoire,2008,4896,12963,1704,6019,1083,2531,29259,34,5741,7001,25502,5666,7774,1121,452,408,2591,139,2640
Cote d'Ivoire,2009,4894,13250,1738,6070,1115,2521,28020,35,5818,7211,25437,5850,7599,1073,463,374,2490,141,2462
Cote d'Ivoire,2010,4929,13572,1776,6165,1147,2512,28446,36,5922,7436,25382,6057,7405,1095,476,384,2446,139,2279
Cote d'Ivoire,2011,5148,13896,1816,6268,1177,2481,27286,37,6026,7663,25276,6275,7141,1064,496,594,2691,131,2068
Cote d'Ivoire,2012,5683,14228,1854,6407,1207,2495,25838,38,6140,7922,25456,6517,7217,1018,506,391,2406,130,1967
Cote d'Ivoire,2013,6371,14709,1908,6684,1248,2533,25202,39,6328,8270,25864,6847,7365,995,522,385,2457,125,1889
Cote d'Ivoire,2014,6851,14990,1938,6896,1273,2513,23038,40,6426,8499,25781,7101,7302,911,533,449,2542,116,1806
Cote d'Ivoire,2015,7070,15320,1980,6958,1296,2507,19709,41,6468,8773,25693,7297,7256,781,547,254,2170,109,1732
Cote d'Ivoire,2016,6686,15271,1969,6957,1283,2406,17361,41,6377,8785,24536,7392,6796,690,544,218,1906,95,1571
Cote d'Ivoire,2017,6413,15461,1989,7049,1285,2352,15228,41,6366,8951,23701,7584,6426,610,554,219,1741,83,1448
Cote d'Ivoire,2018,6597,15966,2056,7232,1316,2368,13385,42,6491,9304,23503,7960,6145,539,573,218,1624,74,1354
Cote d'Ivoire,2019,6868,16175,2084,7232,1317,2352,12561,43,6481,9522,23053,8152,5808,506,584,142,1342,64,1259
Croatia,1990,4682,17153,2968,4141,1223,2040,260,1378,13012,6322,5587,6962,11,80,419,0,3,1,5
Croatia,1991,4587,16539,2888,3996,1210,1922,257,1347,12643,6344,5436,6792,12,81,410,0,3,0,4
Croatia,1992,4556,16036,2825,3965,1207,1843,254,1318,12559,6414,5357,6742,12,85,392,0,3,0,4
Croatia,1993,4551,15777,2791,3946,1210,1779,249,1301,12484,6506,5307,6725,13,87,385,0,2,0,4
Croatia,1994,4509,15502,2743,3924,1203,1719,249,1276,12286,6570,5221,6689,13,91,382,0,2,0,4
Croatia,1995,4556,15652,2755,3980,1217,1709,242,1279,12259,6773,5239,6772,13,97,408,0,2,0,3
Croatia,1996,4596,15840,2772,4062,1227,1721,246,1270,12299,6965,5254,6955,13,101,428,0,2,0,3
Croatia,1997,4637,16030,2800,4208,1230,1742,241,1261,12407,7167,5263,7179,14,106,444,0,2,0,3
Croatia,1998,4512,15840,2744,4202,1190,1705,222,1208,12055,7156,5090,7205,13,109,446,0,1,0,2
Croatia,1999,4412,15665,2690,4239,1148,1673,203,1155,11753,7122,4941,7215,13,117,452,0,1,0,2
Croatia,2000,4241,15360,2618,4112,1094,1615,188,1105,11155,7024,4726,7048,13,123,456,0,1,0,2
Croatia,2001,4178,15178,2581,4102,1058,1597,170,1061,10863,7084,4629,6976,12,129,461,0,1,0,2
Croatia,2002,4228,15309,2607,4079,1040,1624,174,1032,10817,7409,4655,7047,13,133,483,0,1,0,1
Croatia,2003,4305,15445,2661,4008,1025,1673,174,1008,10967,7799,4710,7171,13,141,495,0,1,0,1
Croatia,2004,4147,14817,2553,3823,958,1630,171,925,10468,7738,4510,6939,13,143,497,0,1,0,1
Croatia,2005,4186,15057,2616,3811,953,1668,172,915,10606,8031,4532,7104,12,152,518,0,1,0,1
Croatia,2006,4072,14868,2582,3642,917,1640,174,876,10277,8008,4388,7061,11,154,530,0,1,0,1
Croatia,2007,4104,15228,2639,3628,915,1680,174,867,10386,8241,4407,7324,10,163,563,0,0,0,1
Croatia,2008,4066,15233,2677,3612,902,1704,186,848,10530,8327,4356,7466,8,167,587,0,0,0,1
Croatia,2009,3863,14716,2597,3393,855,1649,187,804,10188,8076,4127,7295,7,157,590,0,0,0,1
Croatia,2010,3773,14803,2618,3247,841,1629,191,804,9994,8085,4021,7399,6,152,619,0,0,0,1
Croatia,2011,3685,14572,2601,3131,825,1596,192,798,9864,8003,3913,7336,5,147,630,0,0,0,1
Croatia,2012,3625,14419,2594,3108,813,1570,192,796,9859,8033,3838,7352,5,144,647,0,0,0,1
Croatia,2013,3465,13997,2517,2932,783,1502,188,773,9485,7884,3661,7202,5,134,651,0,0,0,1
Croatia,2014,3457,14100,2548,2922,788,1506,189,783,9586,8095,3646,7326,5,133,672,0,0,0,1
Croatia,2015,3541,14741,2674,2977,822,1562,195,824,9927,8592,3728,7704,6,132,712,0,0,0,1
Croatia,2016,3215,13947,2529,2848,774,1462,177,783,9436,8326,3378,7321,5,126,687,0,0,0,1
Croatia,2017,3151,14284,2577,2871,786,1472,175,802,9533,8633,3314,7454,6,126,694,0,0,0,1
Croatia,2018,3184,14454,2599,2883,788,1478,173,811,9545,8900,3343,7527,6,129,701,0,0,0,1
Croatia,2019,3243,14718,2642,2929,795,1500,171,822,9640,9287,3390,7659,6,132,712,0,0,0,1
Cuba,1990,4685,13971,3768,2149,1260,2041,619,1170,14466,10476,5432,6927,334,93,819,1,14,7,63
Cuba,1991,4700,14109,3789,2147,1263,2043,619,1181,14556,10659,5394,6928,344,97,878,1,13,7,56
Cuba,1992,4862,14685,3925,2160,1302,2107,648,1218,15020,11142,5533,7114,369,102,967,0,11,5,47
Cuba,1993,5007,15225,4040,2198,1330,2164,693,1241,15500,11507,5660,7272,405,105,1043,0,10,5,42
Cuba,1994,5052,15403,4053,2224,1327,2178,697,1222,15714,11543,5685,7313,430,106,1084,0,10,4,42
Cuba,1995,5057,15468,4028,2180,1315,2174,723,1185,15712,11488,5679,7345,439,104,1132,0,10,4,39
Cuba,1996,5116,15507,3995,2147,1293,2178,732,1125,15771,11352,5720,7320,456,101,1174,0,8,3,30
Cuba,1997,5176,15322,3887,2185,1252,2165,705,1013,15807,10925,5747,7191,473,97,1200,0,7,3,27
Cuba,1998,5328,15405,3837,2275,1229,2179,715,901,16029,10676,5872,7222,487,98,1222,0,6,2,25
Cuba,1999,5450,15473,3777,2367,1201,2186,740,793,16218,10490,5968,7180,501,101,1253,0,6,2,23
Cuba,2000,5372,15251,3644,2379,1150,2144,755,688,16001,10196,5873,7026,501,99,1263,0,5,2,21
Cuba,2001,5391,15482,3632,2462,1126,2159,773,611,16272,10235,5888,7175,519,100,1289,0,5,2,19
Cuba,2002,5061,14754,3408,2485,1040,2021,738,500,15677,9800,5510,7009,483,97,1242,0,5,2,18
Cuba,2003,5134,15186,3465,2618,1035,2043,757,437,16175,10206,5563,7430,484,100,1297,0,4,2,18
Cuba,2004,5182,15549,3513,2742,1030,2049,786,386,16600,10613,5589,7806,485,104,1346,0,4,1,16
Cuba,2005,5259,15948,3569,2905,1034,2060,816,351,17173,11020,5652,8239,475,111,1384,0,4,1,15
Cuba,2006,4974,15184,3357,2842,969,1929,792,304,16671,10632,5330,8086,426,109,1323,0,3,1,13
Cuba,2007,4973,15304,3358,2926,966,1911,832,282,16981,10859,5316,8345,414,115,1360,0,3,1,12
Cuba,2008,5045,15720,3424,3021,980,1920,866,271,17361,11316,5382,8691,417,120,1444,0,3,1,13
Cuba,2009,5088,15995,3452,3164,984,1912,866,261,17717,11658,5416,8934,413,127,1508,0,3,1,13
Cuba,2010,5184,16387,3510,3285,992,1920,887,257,18109,12053,5511,9252,414,135,1572,0,3,1,13
Cuba,2011,5014,15685,3332,3238,937,1817,885,241,17308,11634,5312,8967,398,134,1548,0,3,1,13
Cuba,2012,5330,16260,3441,3535,964,1864,943,245,17966,12184,5612,9425,407,149,1631,0,3,1,12
Cuba,2013,5636,16697,3518,3727,979,1895,988,249,18295,12655,5893,9787,416,159,1701,0,3,1,11
Cuba,2014,5933,17286,3630,3931,1004,1943,1018,258,18734,13238,6175,10182,430,168,1795,0,3,1,11
Cuba,2015,6286,18118,3812,4209,1046,2037,1097,273,19492,14021,6530,10772,453,182,1893,0,3,1,11
Cuba,2016,6127,18379,3850,4341,1054,2057,1032,281,19610,14311,6359,11024,451,185,1928,0,3,1,10
Cuba,2017,6156,19388,4087,4519,1111,2162,1023,307,20399,15274,6374,11691,465,193,2016,0,3,1,9
Cuba,2018,6153,19793,4187,4602,1134,2207,1012,322,20540,15771,6356,12011,468,195,2077,0,2,1,8
Cuba,2019,5959,19438,4112,4569,1113,2177,989,324,19990,15658,6144,11920,455,195,2008,0,2,0,7
