country;obsesityRate(%);obesityRate;obsesityPeople;pop2022;pop2022
Guyana;20,2 %;20,2000;163362,652;808,7260;808726
Austria;20,1 %;20,1000;1796863,017;8939,6170;8939617
Italy;19,9 %;19,9000;11748457,326;59037,4740;59037474
Ecuador;19,9 %;19,9000;3582199;18001;18001000
Azerbaijan;19,9 %;19,9000;2061256,726;10358,0740;10358074
Peru;19,7 %;19,7000;6707768,836;34049,5880;34049588
Denmark;19,7 %;19,7000;1158805,417;5882,2610;5882261
Saint Lucia;19,7 %;19,7000;35431,829;179,8570;179857
Switzerland;19,5 %;19,5000;1704392,04;8740,4720;8740472
Moldova;18,9 %;18,9000;618596,244;3272,9960;3272996
Botswana;18,9 %;18,9000;497125,944;2630,2960;2630296
Antigua and Barbuda;18,9 %;18,9000;17721,207;93,7630;93763
Turkmenistan;18,6 %;18,6000;1196123,22;6430,7700;6430770
Trinidad and Tobago;18,6 %;18,6000;284774,184;1531,0440;1531044
Bosnia and Herzegovina;17,9 %;17,9000;578801,154;3233,5260;3233526
Namibia;17,2 %;17,2000;441526,064;2567,0120;2567012
Yemen;17,1 %;17,1000;5762120,994;33696,6140;33696614
Uzbekistan;16,6 %;16,6000;5748190,232;34627,6520;34627652
Kyrgyzstan;16,6 %;16,6000;1100683,418;6630,6230;6630623
Lesotho;16,6 %;16,6000;382766,95;2305,8250;2305825
Eswatini;16,5 %;16,5000;198275,55;1201,6700;1201670
Malaysia;15,6 %;15,6000;5294362,476;33938,2210;33938221
Zimbabwe;15,5 %;15,5000;2529683,235;16320,5370;16320537
Gabon;15 %;15;358348,8;2388,9920;2388992
Tajikistan;14,2 %;14,2000;1413295,754;9952,7870;9952787
Brunei;14,1 %;14,1000;63309,282;449,0020;449002
Seychelles;14 %;14;14996,52;107,1180;107118
Djibouti;13,5 %;13,5000;151314,615;1120,8490;1120849
Mauritania;12,7 %;12,7000;601489,653;4736,1390;4736139
Sao Tome and Principe;12,4 %;12,4000;28195,12;227,3800;227380
Cape Verde;11,8 %;11,8000;69991,582;593,1490;593149
Cameroon;11,4 %;11,4000;3182257,104;27914,5360;27914536
Ghana;10,9 %;10,9000;3648869,83;33475,8700;33475870
Mauritius;10,8 %;10,8000;140342,652;1299,4690;1299469
Ivory Coast;10,3 %;10,3000;2900535,826;28160,5420;28160542
Gambia;10,3 %;10,3000;278717,176;2705,9920;2705992
Thailand;10 %;10;7169703;71697,0300;71697030
Liberia;9,9 %;9,9000;524965,419;5302,6810;5302681
Benin;9,6 %;9,6000;1281874,944;13352,8640;13352864
Republic of the Congo;9,6 %;9,6000;573160,704;5970,4240;5970424
Guinea-Bissau;9,5 %;9,5000;200028,77;2105,5660;2105566
Nigeria;8,9 %;8,9000;19450167,868;218541,2120;218541212
Senegal;8,8 %;8,8000;1523847,512;17316,4490;17316449
Sierra Leone;8,7 %;8,7000;748697,466;8605,7180;8605718
Pakistan;8,6 %;8,6000;20280938,132;235824,8620;235824862
Sudan;8,6 %;8,6000;4031181,544;46874,2040;46874204
Mali;8,6 %;8,6000;1943048,74;22593,5900;22593590
South Sudan;8,6 %;8,6000;938532,104;10913,1640;10913164
Maldives;8,6 %;8,6000;45045,682;523,7870;523787
Tanzania;8,4 %;8,4000;5501810,832;65497,7480;65497748
Togo;8,4 %;8,4000;743290,716;8848,6990;8848699
Somalia;8,3 %;8,3000;1460593,413;17597,5110;17597511
Angola;8,2 %;8,2000;2918296,934;35588,9870;35588987
Zambia;8,1 %;8,1000;1621431,675;20017,6750;20017675
Equatorial Guinea;8 %;8;133992,64;1674,9080;1674908
Comoros;7,8 %;7,8000;65268,372;836,7740;836774
Guinea;7,7 %;7,7000;1067169,257;13859,3410;13859341
Central African Republic;7,5 %;7,5000;418435,8;5579,1440;5579144
Mozambique;7,2 %;7,2000;2373805,296;32969,5180;32969518
Kenya;7,1 %;7,1000;3835951,577;54027,4870;54027487
Indonesia;6,9 %;6,9000;19009592,391;275501,3390;275501339
North Korea;6,8 %;6,8000;1772720,288;26069,4160;26069416
DR Congo;6,7 %;6,7000;6633684,204;99010,2120;99010212
Philippines;6,4 %;6,4000;7395776,576;115559,0090;115559009
Bhutan;6,4 %;6,4000;50077,12;782,4550;782455
China;6,2 %;6,2000;88405014,894;1425887,3370;1425887337
Chad;6,1 %;6,1000;1081122,215;17723,3150;17723315
Singapore;6,1 %;6,1000;364517,029;5975,6890;5975689
Myanmar;5,8 %;5,8000;3142399,748;54179,3060;54179306
Malawi;5,8 %;5,8000;1183508,386;20405,3170;20405317
Rwanda;5,8 %;5,8000;799048,484;13776,6980;13776698
Burkina Faso;5,6 %;5,6000;1269730,672;22673,7620;22673762
Afghanistan;5,5 %;5,5000;2262082,405;41128,7710;41128771
Niger;5,5 %;5,5000;1441438,735;26207,9770;26207977
Burundi;5,4 %;5,4000;696037,104;12889,5760;12889576
Uganda;5,3 %;5,3000;2504228,005;47249,5850;47249585
Madagascar;5,3 %;5,3000;1569420,842;29611,7140;29611714
Laos;5,3 %;5,3000;399062,175;7529,4750;7529475
Sri Lanka;5,2 %;5,2000;1135271,436;21832,1430;21832143
Eritrea;5 %;5;184201,6;3684,0320;3684032
South Korea;4,7 %;4,7000;2435343,07;51815,8100;51815810
Ethiopia;4,5 %;4,5000;5552096,58;123379,9240;123379924
Japan;4,3 %;4,3000;5329922,756;123951,6920;123951692
Nepal;4,1 %;4,1000;1252450,78;30547,5800;30547580
India;3,9 %;3,9000;55269753,747;1417173,1730;1417173173
Cambodia;3,9 %;3,9000;653945,838;16767,8420;16767842
Timor-Leste;3,8 %;3,8000;50969,248;1341,2960;1341296
Bangladesh;3,6 %;3,6000;6162709,392;171186,3720;171186372
Vietnam;2,1 %;2,1000;2061923,976;98186,8560;98186856
